City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,port mathurin,-19.6833,63.4167,26.850000000000023,82,100,3.11,MU,1711942128
182,santa terezinha,-29.9002,-50.0904,22.340000000000032,87,82,1.56,BR,1711942128
183,cao bang,22.6667,106.25,31.400000000000034,52,85,2.25,VN,1711942128
184,altamira,-3.2033,-52.2064,22.939999999999998,99,100,0.8,BR,1711941828
185,nizhnevartovsk,60.9344,76.5531,-10.989999999999952,73,0,6.0,RU,1711942129
186,ust-nera,64.5667,143.2,-10.169999999999959,80,77,1.73,RU,1711942129
187,lata,40.1629,-8.3327,9.400000000000034,97,52,2.16,PT,1711942129
188,ancud,-41.8697,-73.8203,7.340000000000032,86,1,2.05,CL,1711942129
189,thinadhoo,0.5333,72.9333,29.30000000000001,69,51,2.51,MV,1711942129
190,kendari,-3.945,122.4989,31.560000000000002,62,97,2.07,ID,1711942130
191,zaragoza,41.6561,-0.8773,9.890000000000043,63,0,4.12,ES,1711942021
192,saint-pierre,-21.3393,55.4781,25.82000000000005,83,0,6.17,RE,1711942130
193,himatnagar,23.6,72.95,27.360000000000014,33,97,3.37,IN,1711942130
194,hasaki,35.7333,140.8333,16.220000000000027,69,100,7.15,JP,1711942130
195,nova vicosa,-17.8919,-39.3719,25.590000000000032,89,74,3.1,BR,1711942131
196,telerghma,36.1165,6.3543,19.430000000000007,62,39,1.06,DZ,1711942131
197,masuda,34.6667,131.85,16.150000000000034,72,20,5.66,JP,1711942131
198,ambatofinandrahana,-20.55,46.8,16.930000000000007,78,99,3.73,MG,1711942132
199,katsuren-haebaru,26.3369,127.8719,26.210000000000036,67,75,4.63,JP,1711942132
200,mengellang,7.6957,134.6305,30.950000000000045,70,48,7.39,PW,1711942132
201,keflavik,64.0049,-22.5624,-2.759999999999991,59,0,11.32,IS,1711942132
202,port shepstone,-30.7414,30.455,21.670000000000016,86,99,8.82,ZA,1711942133
203,brandon,27.9378,-82.2859,21.24000000000001,86,0,0.0,US,1711942133
204,koulikoro,14.0,-7.75,30.58000000000004,21,3,3.24,ML,1711942133
205,ikaalinen,61.7695,23.0658,4.100000000000023,100,80,1.6,FI,1711942133
206,mchinji,-13.7984,32.8802,17.170000000000016,92,100,2.37,MW,1711942133
207,utrik,11.2278,169.8474,27.03000000000003,77,91,9.18,MH,1711942134
208,punta arenas,-53.15,-70.9167,5.060000000000002,87,75,3.6,CL,1711942134
209,nacala,-14.5428,40.6728,21.620000000000005,93,12,3.37,MZ,1711942134
210,cannonvale,-20.2833,148.7,26.660000000000025,64,14,6.44,AU,1711942134
211,alice springs,-23.7,133.8833,32.34000000000003,39,40,2.57,AU,1711942134
212,jieshi,22.8134,115.8257,25.390000000000043,87,53,4.65,CN,1711942135
213,ghormach,35.7306,63.7826,11.360000000000014,58,42,0.88,AF,1711942135
214,bardai,11.65,7.2333,26.140000000000043,12,99,2.23,NG,1711942135
215,kadom,54.5592,42.4675,7.330000000000041,96,97,3.69,RU,1711942135
216,luderitz,-26.6481,15.1594,16.010000000000048,88,0,5.59,NA,1711942135
217,westport,41.1415,-73.3579,12.080000000000041,57,0,2.57,US,1711941859
218,hassi messaoud,31.6804,6.0729,17.920000000000016,19,0,1.03,DZ,1711942136
219,itoman,26.1247,127.6694,26.210000000000036,79,75,6.17,JP,1711942136
220,east ballina,-28.8667,153.5833,24.890000000000043,62,91,3.64,AU,1711942136
221,kilju,40.9642,129.3278,8.25,34,0,4.24,KP,1711942136
222,colonia,50.9333,6.95,11.129999999999995,87,0,2.06,DE,1711941954
223,leava,-14.3,-178.1667,29.33000000000004,77,28,6.84,WF,1711942137
